ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Beat,District,Gnome,Flamingo
11786367,JC382947,08/01/2019 05:00:00 PM,002XX E JACKSON DR,870,THEFT,POCKET-PICKING,SIDEWALK,114,1,False,False
11780294,JC375058,08/01/2019 11:00:00 AM,041XX N GREENVIEW AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,1912,19,False,False
11785189,JC381536,08/01/2019 08:00:00 PM,003XX E RANDOLPH ST,870,THEFT,POCKET-PICKING,PARK PROPERTY,114,1,False,False
11780289,JC374996,08/01/2019 07:00:00 PM,003XX S COLUMBUS DR,870,THEFT,POCKET-PICKING,PARK PROPERTY,114,1,False,False
11777638,JC372630,07/31/2019 01:20:00 PM,001XX E IDA B WELLS DR,820,THEFT,$500 AND UNDER,OTHER,111,1,False,False
11779121,JC373713,07/31/2019 10:00:00 PM,001XX N JEFFERSON ST,810,THEFT,OVER $500,SIDEWALK,121,1,False,False
11785184,JC381502,07/19/2019 04:32:00 PM,013XX N MOORMAN ST,820,THEFT,$500 AND UNDER,APARTMENT,1424,14,False,False
11785136,JC381312,07/10/2019 04:48:00 PM,013XX N ASHLAND AVE,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,1433,14,False,False
11776746,JC371706,07/30/2019 09:05:00 AM,002XX S FRANKLIN ST,820,THEFT,$500 AND UNDER,STREET,122,1,False,False
11776754,JC371565,07/30/2019 04:10:00 PM,023XX S KOSTNER AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,1013,10,False,False
11783861,JC379195,07/23/2019 10:05:00 AM,012XX N State Pkwy,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,DRUG STORE,1824,18,False,False
11776740,JC370578,07/29/2019 01:05:00 PM,0000X N DEARBORN ST,870,THEFT,POCKET-PICKING,RESTAURANT,112,1,False,False
11776755,JC370806,07/28/2019 04:30:00 PM,085XX S BUFFALO AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,424,4,False,False
11775503,JC369168,07/28/2019 01:15:00 AM,059XX N KENNETH AVE,810,THEFT,OVER $500,RESIDENCE-GARAGE,1711,17,False,False
11776717,JC370781,07/28/2019 07:35:00 PM,011XX W TAYLOR ST,820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,1232,12,False,False
11775482,JC369601,07/27/2019 01:35:00 PM,010XX N CLARK ST,810,THEFT,OVER $500,SIDEWALK,1824,18,False,False
11769635,JC362231,07/24/2019 01:43:00 AM,012XX W FRY ST,820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,1213,12,False,False
11780293,JC374843,07/22/2019 12:00:00 PM,0000X N PEORIA ST,890,THEFT,FROM BUILDING,APARTMENT,1224,12,False,False
11775492,JC369267,07/27/2019 12:20:00 AM,001XX W Hubbard st,870,THEFT,POCKET-PICKING,BAR OR TAVERN,1831,18,False,False
11775471,JC369212,07/27/2019 12:01:00 AM,035XX W Belmont Ave,1320,CRIMINAL DAMAGE,TO VEHICLE,DRIVEWAY - RESIDENTIAL,1412,14,False,False
11773069,JC366689,07/26/2019 12:55:00 PM,008XX W LAWRENCE AVE,820,THEFT,$500 AND UNDER,APARTMENT,1914,19,False,False
11771990,JC365576,07/26/2019 01:55:00 PM,003XX W ILLINOIS ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,1831,18,False,False
11773078,JC366674,07/26/2019 12:00:00 AM,005XX N Wells St,890,THEFT,FROM BUILDING,BAR OR TAVERN,1831,18,False,False
11779126,JC373406,07/22/2019 06:10:00 AM,013XX S WABASH AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,131,1,False,False
11686014,JC261191,05/12/2019 06:50:00 PM,068XX S PAXTON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENTIAL YARD (FRONT/BACK),331,3,False,False
11771989,JC365530,07/25/2019 06:00:00 PM,0000X E CONGRESS PKWY,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,COLLEGE/UNIVERSITY GROUNDS,123,1,False,False
11775493,JC369297,07/25/2019 09:20:00 AM,006XX W OHIO ST,810,THEFT,OVER $500,STREET,1214,12,False,False
