ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Beat,District
11882146,JC497855,10/01/2019 09:00:00 AM,041XX W FULLERTON AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,2525,025
11882131,JC498224,01/04/2019 01:10:00 PM,065XX N NEWGARD AVE,0810,THEFT,OVER $500,APARTMENT,2432,024
11876586,JC490920,10/29/2019 03:00:00 AM,015XX N OAKLEY BLVD,1320,CRIMINAL DAMAGE,TO VEHICLE,DRIVEWAY - RESIDENTIAL,1424,014
11882161,JC498627,10/13/2019 02:00:00 PM,002XX S CANAL ST,0820,THEFT,$500 AND UNDER,OTHER RAILROAD PROP / TRAIN DEPOT,0121,001
11875174,JC489427,10/28/2019 03:20:00 AM,040XX W Warwick Ave,0820,THEFT,$500 AND UNDER,STREET,1732,017
11875202,JC489425,10/27/2019 04:15:00 PM,065XX N PONCHARTRAIN BLVD,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,CTA TRAIN,1621,016
11877210,JC492618,10/27/2019 09:45:00 PM,016XX W 105TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,2212,022
11876294,JC490282,10/26/2019 02:35:00 AM,0000X W C1 ST,0810,THEFT,OVER $500,AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,1651,016
11879182,JC494701,10/23/2019 10:15:00 AM,048XX N ROCKWELL ST,0820,THEFT,$500 AND UNDER,APARTMENT,2031,020
11876297,JC490194,10/26/2019 12:11:00 PM,019XX W RACE AVE,0820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,1221,012
11872345,JC485685,10/25/2019 07:30:00 AM,016XX S Ashland Ave,0820,THEFT,$500 AND UNDER,STREET,1233,012
11873281,JC487249,10/25/2019 05:35:00 PM,001XX N WABASH AVE,0810,THEFT,OVER $500,STREET,0111,001
11876289,JC491010,10/25/2019 11:40:00 PM,024XX N CLARK ST,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESTAURANT,1935,019
11875203,JC489966,10/24/2019 09:00:00 PM,013XX W ROSEDALE AVE,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,2013,020
11874117,JC488525,10/24/2019 12:40:00 PM,011XX N MILWAUKEE AVE,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),1213,012
11870995,JC484683,10/24/2019 12:12:00 PM,0000X E IDA B WELLS DR,0460,BATTERY,SIMPLE,SIDEWALK,0111,001
11876268,JC491020,09/22/2019 12:00:00 AM,007XX W GRAND AVE,0810,THEFT,OVER $500,BAR OR TAVERN,1214,012
11876270,JC490274,10/09/2019 09:15:00 PM,002XX S DEARBORN ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,CTA PLATFORM,0113,001
11876303,JC490990,10/18/2019 05:19:00 PM,024XX N HALSTED ST,0820,THEFT,$500 AND UNDER,APARTMENT,1935,019
11870240,JC483550,10/23/2019 04:40:00 AM,020XX S Throop St,0810,THEFT,OVER $500,STREET,1235,012
11871320,JC484312,10/22/2019 08:00:00 AM,026XX W AUGUSTA BLVD,0820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),1211,012
11871312,JC484605,10/22/2019 12:00:00 AM,043XX S MICHIGAN AVE,0810,THEFT,OVER $500,STREET,0215,002
11869212,JC481853,10/21/2019 12:07:00 AM,015XX N WIELAND ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,1821,018
11874110,JC488573,09/02/2019 09:00:00 PM,071XX S LANGLEY AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,0323,003
11870497,JC480220,10/20/2019 10:00:00 PM,037XX S DEARBORN ST,0460,BATTERY,SIMPLE,APARTMENT,0213,002
11869222,JC482206,10/20/2019 07:30:00 PM,011XX N WELLS ST,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,1823,018
11868131,JC480937,10/19/2019 04:20:00 PM,004XX N PARK DR,0810,THEFT,OVER $500,SIDEWALK,1834,018
11869220,JC481914,06/18/2019 07:00:00 PM,034XX N LAKEWOOD AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,1924,019
11869208,JC481902,10/18/2019 03:50:00 PM,051XX W ROSCOE ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,,1634,016
11864126,JC476245,10/17/2019 12:00:00 AM,087XX S ESCANABA AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,0423,004
